Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,2928.25,2020-12-30,2923.35,2943.01,2911.19,2901.36,2891.53,2877.54,Final Target Reached
2021-01-07,3032.8,2021-01-05,3071.61,3027.58,3106.18,3130.46,3158.03,3184.77,Target 1 Reached
2021-01-11,3176.45,2021-01-05,3071.61,3027.58,3106.18,3130.46,3158.03,3184.77,Final Target Reached,BUY
2021-01-13,3158.95,2021-01-13,3159.3,3225.57,3118.3,3085.17,3052.03,3004.86,Awaiting Targets, 
2021-01-14,3250.7,2021-01-13,3159.3,3225.57,3118.3,3085.17,3052.03,3004.86,Stop Loss has occured,SELL
2021-01-18,3221.75,2021-01-18,3228.97,3196.1,3254.78,3272.9,3293.48,3313.45,Awaiting Targets, 
2021-01-19,3260.7,2021-01-18,3228.97,3196.1,3254.78,3272.9,3293.48,3313.45,Target 2 Reached,BUY
2021-01-20,3308.8,2021-01-18,3228.97,3196.1,3254.78,3272.9,3293.48,3313.45,Final Target Reached,BUY
2021-01-22,3303.1,2021-01-22,3277.97,3311.14,3257.45,3240.86,3224.28,3200.67,Awaiting Targets, 
2021-01-25,3291.3,2021-01-22,3277.97,3311.14,3257.45,3240.86,3224.28,3200.67,Stop Loss has occured,SELL
2021-01-27,3261.05,2021-01-22,3277.97,3311.14,3257.45,3240.86,3224.28,3200.67,Target 2 Reached,SELL
2021-01-28,3196.55,2021-01-22,3277.97,3311.14,3257.45,3240.86,3224.28,3200.67,Final Target Reached,SELL
2021-02-04,3188.45,2021-02-02,3187.86,3124.58,3237.54,3272.43,3312.05,3350.49,Target 1 Reached,BUY
2021-02-09,3176.9,2021-02-09,3195.42,3221.11,3179.53,3166.69,3153.84,3135.55,Awaiting Targets, 
2021-02-10,3213.3,2021-02-09,3195.42,3221.11,3179.53,3166.69,3153.84,3135.55,Target 2 Reached,SELL
2021-02-15,3139.85,2021-02-09,3195.42,3221.11,3179.53,3166.69,3153.84,3135.55,Final Target Reached,SELL
2021-03-08,3006.95,2021-03-08,3012.98,3063.96,2981.45,2955.96,2930.47,2894.18,Awaiting Targets, 
2021-03-09,3050.95,2021-03-08,3012.98,3063.96,2981.45,2955.96,2930.47,2894.18,Stop Loss has occured,SELL
2021-03-10,3070.95,2021-03-10,3074.79,3058.78,3087.35,3096.18,3106.2,3115.93,Awaiting Targets, 
2021-03-15,3066.15,2021-03-10,3074.79,3058.78,3087.35,3096.18,3106.2,3115.93,Final Target Reached,BUY
2021-03-16,3110.05,2021-03-16,3092.76,3114.89,3079.07,3068.01,3056.95,3041.2,Awaiting Targets, 
2021-03-17,3112.95,2021-03-16,3092.76,3114.89,3079.07,3068.01,3056.95,3041.2,Target 1 Reached,SELL
2021-03-18,3036.5,2021-03-16,3092.8,3114.9,3079.1,3068.0,3057.0,3041.2,Final Target Reached,SELL
2021-03-24,3121.1,2021-03-23,3143.6,3107.6,3171.8,3191.6,3214.1,3236.0,Awaiting Targets,BUY
2021-03-25,3064.85,2021-03-23,3143.6,3107.6,3171.8,3191.6,3214.1,3236.0,Stop Loss has occured,BUY
2021-03-26,3066.8,2021-03-26,3079.6,3107.7,3062.2,3048.2,3034.2,3014.2,Awaiting Targets, 
2021-03-30,3158.55,2021-03-26,3079.6,3107.7,3062.2,3048.2,3034.2,3014.2,Target 1 Reached,SELL
2021-03-31,3177.85,2021-03-31,3167.5,3136.4,3191.9,3209.0,3228.5,3247.4,Awaiting Targets, 
2021-04-01,3165.0,2021-03-31,3167.5,3136.4,3191.9,3209.0,3228.5,3247.4,Target 2 Reached,BUY
