Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,123.65,2020-12-31,122.39,123.76,121.54,120.86,120.17,119.19,Stop Loss has occured
2021-01-15,138.5,2021-01-15,141.42,146.43,138.32,135.82,133.31,129.74,Awaiting Targets, 
2021-01-18,137.9,2021-01-15,141.42,146.43,138.32,135.82,133.31,129.74,Target 2 Reached,SELL
2021-01-21,133.75,2021-01-15,141.42,146.43,138.32,135.82,133.31,129.74,Target 3 Reached,SELL
2021-01-27,127.7,2021-01-15,141.42,146.43,138.32,135.82,133.31,129.74,Final Target Reached,SELL
2021-02-08,131.4,2021-02-08,131.18,133.05,130.03,129.1,128.16,126.83,Awaiting Targets, 
2021-02-09,131.05,2021-02-08,131.18,133.05,130.03,129.1,128.16,126.83,Stop Loss has occured,SELL
2021-02-12,132.9,2021-02-10,132.7,131.6,133.57,134.18,134.87,135.53,Final Target Reached,BUY
2021-02-15,133.8,2021-02-15,133.75,135.45,132.7,131.85,131.0,129.79,Awaiting Targets, 
2021-02-16,133.1,2021-02-15,133.75,135.45,132.7,131.85,131.0,129.79,Target 1 Reached,SELL
2021-02-18,143.1,2021-02-18,141.96,140.87,142.82,143.42,144.1,144.77,Awaiting Targets, 
2021-02-19,145.4,2021-02-18,141.96,140.87,142.82,143.42,144.1,144.77,Final Target Reached,BUY
2021-02-26,141.8,2021-02-26,145.53,149.98,142.77,140.54,138.32,135.14,Awaiting Targets, 
2021-03-01,144.5,2021-02-26,145.53,149.98,142.77,140.54,138.32,135.14,Target 1 Reached,SELL
2021-03-04,144.45,2021-03-04,145.03,142.99,146.64,147.77,149.04,150.29,Awaiting Targets, 
2021-03-05,147.15,2021-03-04,145.03,142.99,146.64,147.77,149.04,150.29,Target 3 Reached,BUY
2021-03-08,154.15,2021-03-04,145.03,142.99,146.64,147.77,149.04,150.29,Final Target Reached,BUY
