Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,3102.65,2020-12-18,3120.33,3086.43,3146.94,3165.63,3186.86,3207.45,Target 1 Reached
2021-01-04,3043.85,2021-01-01,3107.86,3167.39,3071.03,3041.26,3011.5,2969.12,Target 2 Reached
2021-01-08,3161.1,2021-01-08,3115.04,3095.15,3130.66,3141.62,3154.08,3166.16,Awaiting Targets
2021-01-11,3197.7,2021-01-08,3115.04,3095.15,3130.66,3141.62,3154.08,3166.16,Final Target Reached,BUY
2021-01-15,3203.0,2021-01-15,3224.46,3284.62,3187.25,3157.17,3127.09,3084.27,Awaiting Targets, 
2021-01-18,3163.15,2021-01-15,3224.46,3284.62,3187.25,3157.17,3127.09,3084.27,Final Target Reached,SELL
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached,SELL
2021-01-21,3247.3,2021-01-20,3259.35,3218.99,3291.04,3313.29,3338.56,3363.08,Target 3 Reached,BUY
2021-01-22,3374.9,2021-01-20,3259.35,3218.99,3291.04,3313.29,3338.56,3363.08,Final Target Reached,BUY
2021-01-27,3358.55,2021-01-27,3405.63,3480.73,3359.17,3321.61,3284.06,3230.6,Awaiting Targets, 
2021-01-28,3397.4,2021-01-27,3405.63,3480.73,3359.17,3321.61,3284.06,3230.6,Target 1 Reached,SELL
2021-01-29,3256.05,2021-01-27,3405.63,3480.73,3359.17,3321.61,3284.06,3230.6,Final Target Reached,SELL
2021-02-03,3380.8,2021-02-03,3341.84,3284.54,3386.82,3418.42,3454.29,3489.1,Awaiting Targets, 
2021-02-04,3440.7,2021-02-03,3341.84,3284.54,3386.82,3418.42,3454.29,3489.1,Final Target Reached,BUY
2021-02-12,3515.75,2021-02-12,3533.65,3604.63,3489.74,3454.26,3418.77,3368.24,Awaiting Targets, 
2021-02-15,3465.4,2021-02-12,3533.65,3604.63,3489.74,3454.26,3418.77,3368.24,Target 2 Reached,SELL
2021-02-18,3522.85,2021-02-18,3559.39,3524.51,3586.78,3606.01,3627.85,3649.04,Awaiting Targets, 
2021-02-23,3405.45,2021-02-22,3399.31,3460.45,3361.49,3330.92,3300.36,3256.84,Stop Loss has occured,SELL
2021-02-24,3441.6,2021-02-22,3399.31,3460.45,3361.49,3330.92,3300.36,3256.84,Target 1 Reached,SELL
2021-02-26,3224.0,2021-02-25,3436.66,3404.59,3461.83,3479.52,3499.59,3519.08,Awaiting Targets,BUY
