Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,2775.55,2020-12-15,2525.88,2537.52,2518.68,2512.87,2507.05,2498.76,Final Target Reached
2021-01-19,2645.05,2021-01-19,2631.66,2563.6,2685.1,2722.62,2765.24,2806.59,Awaiting Targets, 
2021-01-20,2697.25,2021-01-19,2631.66,2563.6,2685.1,2722.62,2765.24,2806.59,Target 1 Reached,BUY
2021-01-21,2716.35,2021-01-19,2631.66,2563.6,2685.1,2722.62,2765.24,2806.59,Final Target Reached,BUY
2021-01-25,2513.95,2021-01-25,2564.83,2618.39,2531.7,2504.92,2478.13,2440.01,Awaiting Targets, 
2021-01-27,2436.6,2021-01-25,2564.83,2618.39,2531.7,2504.92,2478.13,2440.01,Final Target Reached,SELL
2021-02-02,2463.65,2021-02-02,2467.19,2400.96,2519.18,2555.7,2597.17,2637.4,Awaiting Targets, 
2021-02-04,2401.8,2021-02-02,2467.19,2400.96,2519.18,2555.7,2597.17,2637.4,Stop Loss has occured,BUY
2021-02-08,2416.85,2021-02-05,2397.86,2426.65,2380.05,2365.65,2351.25,2330.76,Target 1 Reached,SELL
2021-02-09,2506.85,2021-02-09,2473.87,2457.57,2486.66,2495.65,2505.85,2515.75,Awaiting Targets, 
2021-02-10,2510.6,2021-02-09,2473.87,2457.57,2486.66,2495.65,2505.85,2515.75,Final Target Reached,BUY
2021-02-15,2456.75,2021-02-15,2479.45,2512.82,2458.8,2442.12,2425.43,2401.68,Awaiting Targets, 
2021-02-16,2450.25,2021-02-15,2479.45,2512.82,2458.8,2442.12,2425.43,2401.68,Target 3 Reached,SELL
2021-02-17,2388.15,2021-02-15,2479.45,2512.82,2458.8,2442.12,2425.43,2401.68,Final Target Reached,SELL
