Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,643.1,2020-12-24,625.95,614.0,635.33,641.92,649.41,656.67,Target 3 Reached
2021-01-04,693.0,2020-12-24,625.95,614.0,635.33,641.92,649.41,656.67,Final Target Reached
2021-01-11,695.65,2021-01-11,701.97,716.41,693.03,685.81,678.59,668.3,Awaiting Targets, 
2021-01-12,694.9,2021-01-11,701.97,716.41,693.03,685.81,678.59,668.3,Target 1 Reached,SELL
2021-01-15,705.9,2021-01-15,709.26,701.49,715.36,719.64,724.5,729.22,Awaiting Targets, 
2021-01-19,681.1,2021-01-18,685.74,691.37,682.26,679.44,676.63,672.62,Final Target Reached,SELL
2021-01-21,666.7,2021-01-21,678.51,665.3,688.89,696.18,704.45,712.48,Awaiting Targets, 
2021-01-25,651.95,2021-01-22,656.62,664.44,651.78,647.86,643.95,638.38,Final Target Reached,SELL
2021-02-01,636.1,2021-02-01,619.61,601.03,634.2,644.45,656.09,667.38,Awaiting Targets, 
2021-02-02,641.65,2021-02-01,619.61,601.03,634.2,644.45,656.09,667.38,Target 2 Reached,BUY
2021-02-03,653.15,2021-02-01,619.61,601.03,634.2,644.45,656.09,667.38,Target 3 Reached,BUY
2021-02-05,685.05,2021-02-01,619.61,601.03,634.2,644.45,656.09,667.38,Final Target Reached,BUY
2021-02-10,690.25,2021-02-10,701.2,729.28,683.82,669.78,655.74,635.75,Awaiting Targets, 
2021-02-11,694.7,2021-02-10,701.2,729.28,683.82,669.78,655.74,635.75,Target 1 Reached,SELL
2021-02-16,699.2,2021-02-10,701.2,729.28,683.82,669.78,655.74,635.75,Target 2 Reached,SELL
2021-02-17,696.8,2021-02-17,696.37,684.34,705.81,712.44,719.97,727.28,Awaiting Targets, 
2021-02-18,697.75,2021-02-17,696.37,684.34,705.81,712.44,719.97,727.28,Target 1 Reached,BUY
2021-02-22,684.55,2021-02-22,681.55,693.59,674.11,668.09,662.07,653.5,Awaiting Targets, 
2021-02-26,715.15,2021-02-24,731.92,717.98,742.87,750.56,759.29,767.75,Target 2 Reached,BUY
2021-03-01,730.4,2021-03-01,726.0,739.19,717.84,711.24,704.65,695.26,Awaiting Targets, 
2021-03-02,735.5,2021-03-01,726.0,739.19,717.84,711.24,704.65,695.26,Stop Loss has occured,SELL
2021-03-05,733.3,2021-03-05,741.2,746.69,737.81,735.06,732.32,728.42,Awaiting Targets, 
2021-03-08,737.25,2021-03-05,741.2,746.69,737.81,735.06,732.32,728.42,Target 2 Reached,SELL
