Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,5280.15,2020-12-31,5318.67,5373.87,5284.52,5256.92,5229.33,5190.03,Target 2 Reached
2021-01-04,5216.2,2020-12-31,5318.67,5373.87,5284.52,5256.92,5229.33,5190.03,Target 3 Reached
2021-01-05,5119.0,2020-12-31,5318.67,5373.87,5284.52,5256.92,5229.33,5190.03,Final Target Reached
2021-01-11,4984.25,2021-01-11,5040.36,4958.57,5104.57,5149.67,5200.88,5250.57,Awaiting Targets, 
2021-01-12,5042.2,2021-01-11,5040.36,4958.57,5104.57,5149.67,5200.88,5250.57,Stop Loss has occured,BUY
2021-01-19,4959.15,2021-01-19,4867.8,4811.11,4912.3,4943.56,4979.06,5013.5,Awaiting Targets, 
2021-01-20,4981.95,2021-01-19,4867.8,4811.11,4912.3,4943.56,4979.06,5013.5,Final Target Reached,BUY
2021-01-25,4908.7,2021-01-25,5002.67,5114.3,4933.61,4877.8,4821.99,4742.52,Awaiting Targets, 
2021-01-27,4845.0,2021-01-25,5002.67,5114.3,4933.61,4877.8,4821.99,4742.52,Target 3 Reached,SELL
2021-01-28,4810.25,2021-01-25,5002.67,5114.3,4933.61,4877.8,4821.99,4742.52,Final Target Reached,SELL
2021-02-01,5058.6,2021-02-01,4895.02,4797.46,4971.61,5025.41,5086.5,5145.77,Awaiting Targets, 
2021-02-02,5173.2,2021-02-01,4895.02,4797.46,4971.61,5025.41,5086.5,5145.77,Final Target Reached,BUY
2021-02-09,5400.3,2021-02-09,5464.85,5700.5,5319.07,5201.25,5083.43,4915.68,Awaiting Targets, 
2021-02-15,5779.85,2021-02-09,5464.85,5700.5,5319.07,5201.25,5083.43,4915.68,Stop Loss has occured,SELL
2021-02-17,5705.15,2021-02-15,5696.05,5645.67,5735.59,5763.37,5794.91,5825.52,Target 3 Reached,BUY
2021-02-18,5563.35,2021-02-18,5624.82,5693.29,5582.46,5548.23,5513.99,5465.25,Awaiting Targets, 
2021-02-19,5497.95,2021-02-18,5624.82,5693.29,5582.46,5548.23,5513.99,5465.25,Final Target Reached,SELL
2021-02-24,5562.9,2021-02-24,5492.2,5410.88,5556.04,5600.88,5651.8,5701.2,Awaiting Targets, 
2021-02-26,5264.9,2021-02-24,5492.2,5410.88,5556.04,5600.88,5651.8,5701.2,Target 2 Reached,BUY
2021-03-02,5316.3,2021-03-01,5286.68,5380.83,5228.43,5181.36,5134.28,5067.26,Stop Loss has occured,SELL
2021-03-03,5542.9,2021-03-03,5455.12,5404.36,5494.98,5522.97,5554.76,5585.59,Awaiting Targets, 
2021-03-04,5485.9,2021-03-03,5455.12,5404.36,5494.98,5522.97,5554.76,5585.59,Target 3 Reached,BUY
2021-03-09,5415.05,2021-03-09,5391.52,5453.43,5353.21,5322.26,5291.3,5247.22,Awaiting Targets, 
2021-03-17,5359.8,2021-03-16,5467.85,5543.24,5421.21,5383.52,5345.82,5292.15,Target 3 Reached,SELL
2021-03-19,5453.25,2021-03-16,5467.8,5543.2,5421.2,5383.5,5345.8,5292.1,Final Target Reached,SELL
2021-03-22,5389.35,2021-03-22,5417.5,5341.6,5477.1,5519.0,5566.6,5612.7,Awaiting Targets, 
2021-03-24,5270.3,2021-03-22,5417.5,5341.6,5477.1,5519.0,5566.6,5612.7,Stop Loss has occured,BUY
2021-03-30,5193.55,2021-03-25,5201.4,5257.3,5166.8,5138.8,5110.8,5071.0,Target 2 Reached,SELL
2021-04-01,5272.15,2021-04-01,5233.2,5178.2,5276.3,5306.7,5341.1,5374.5,Awaiting Targets, 
2021-04-06,4993.1,2021-04-01,5233.2,5178.2,5276.3,5306.7,5341.1,5374.5,Stop Loss has occured,BUY
2021-04-09,4872.3,2021-04-07,5026.5,5113.3,4972.8,4929.4,4885.9,4824.1,Target 3 Reached,SELL
